Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Singapore,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,136.7,151.1,171.6,194.9,157.2,163.7
India,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,76.4,28.0,-,-,-,-
USA,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"1,193.0","1,570.3",703.0,476.2,365.4,381.2
Indonesia,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,818.5,656.5,575.8,292.4,176.1,105.6
China,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,-,-,-,-,"25,000.0"
Indonesia,Mobile Phones,HiSense (Hisense Group),Hisense Group,Retail Volume,000 units,119.5,36.8,31.1,15.9,-,-
Vietnam,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,147.8,128.6,103.2,110.4,-,-
Malaysia,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,81.9,66.2,53.0,45.0,9.0,3.6
Singapore,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,43.0,26.0,15.7,12.4,7.9,4.9
China,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,"2,223.2","1,334.0",734.0,147.0,-,-
USA,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,"3,376.8","2,337.1","2,153.0","1,503.9",886.7,723.4
Thailand,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,12.9,9.1,-,-,-,-
India,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,236.6,91.7,32.5,-,-,-
Philippines,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,84.0,63.6,75.0,76.1,74.9,72.4
